"IssuerID","State","Plan Type","Global_rate","S1_rate","S1D1_rate","S1D1C1_rate","S1D1C2_rate","S1D1C3_rate","S1D1C4_rate","S1D2_rate","S1D2C5_rate","S1D3_rate","S1D3C6_rate","S1D3C7_rate","S1D3C8_rate","S1D3C9_rate","S2_rate","S2D9_rate","S2D9C15_rate","S2D6_rate","S2D6C12_rate","S3_rate","S3D7_rate","S3D7C13_rate","S3D8_rate","S3D8C14_rate","S1D1C1M1_den","S1D1C1M1_rate","S1D1C2M2_den","S1D1C2M2_rate","S1D1C2M3_den","S1D1C2M3_rate","S1D1C2M4_den","S1D1C2M4_rate","S1D1C2M5_den","S1D1C2M5_rate","S1D1C3M6_den","S1D1C3M6_rate","S1D1C3M7_den","S1D1C3M7_rate","S1D1C3M8_den","S1D1C3M8_rate","S1D1C4M9_den","S1D1C4M9_rate","S1D1C4M10_den","S1D1C4M10_rate","S1D1C4M12_den","S1D1C4M12_rate","S1D1C4M13_den","S1D1C4M13_rate","S1D2C5M14_den","S1D2C5M14_rate","S1D2C5M15_den","S1D2C5M15_rate","S1D3C6M16_den","S1D3C6M16_rate","S1D3C6M17_den","S1D3C6M17_rate","S1D3C6M18_den","S1D3C6M18_rate","S1D3C7M19_den","S1D3C7M19_rate","S1D3C7M20_den","S1D3C7M20_rate","S1D3C8M21_den","S1D3C8M21_rate","S1D3C8M23_den","S1D3C8M23_rate","S1D3C8M24_den","S1D3C8M24_rate","S1D3C8M25_den","S1D3C8M25_rate","S1D3C9M26_den","S1D3C9M26_rate","S1D3C9M27_den","S1D3C9M27_rate","S1D3C9M47_den","S1D3C9M47_rate","S1D3C9M30_den","S1D3C9M30_rate","S1D3C9M31_den","S1D3C9M31_rate","S1D3C9M32_den","S1D3C9M32_rate","S2D9C15M33_den","S2D9C15M33_rate","S2D9C15M34_den","S2D9C15M34_rate","S2D6C12M36_den","S2D6C12M36_rate","S2D6C12M37_den","S2D6C12M37_rate","S2D6C12M38_den","S2D6C12M38_rate","S3D7C13M39_den","S3D7C13M39_rate","S3D7C13M40_den","S3D7C13M40_rate","S3D7C13M41_den","S3D7C13M41_rate","S3D7C13M42_den","S3D7C13M42_rate","S3D8C14M43_den","S3D8C14M43_rate","S3D8C14M44_den","S3D8C14M44_rate","S3D8C14M45_den","S3D8C14M45_rate"
76179,IN,EPO,3,3,4,4,3,4,3,4,4,4,3,3,3,2,4,4,4,4,4,3,2,2,3,3,288,0.6770833,770,0.7097403,166,0.4457831,26,0.5489362,712,0.2092697,411,0.5279805,10402,0.8376274,8940,0.7846756,411,0.3722628,411,0.4890511,411,0.892944,3601,0.7758956,12198,0.8128382,813,0.691364,1118,0.6717352,411,0.4793187,411,0.4355231,411,0.7420925,411,0.863747,196,0.8061224,1221,0.3284193,364,0.543956,73,0.6438356,34,0.3235294,139,0.5827338,206,0.1165049,411,0.5052717,76,0.7763158,1237,0.7542441,341,0.765443459,298,0.877060668,305,0.781311841,271,0.890463477,185,0.872247733,237,0.8185654,276,0.8405797,521,0.2264875,535,0.7214953,292,0.513828758,248,0.717884627,364,0.656647168
76680,CO,HMO,2,2,3,2,3,3,3,3,3,4,3,4,2,3,3,3,3,2,2,2,3,3,1,1,212,0.5283019,366,0.5669399,68,0.3676471,9,0.3809524,433,0.2355659,411,0.5304136,2814,0.721393,2618,0.6959511,411,0.406326,411,0.5547445,411,0.8807786,749,0.670227,3012,0.7818725,591,0.7148044,2637,0.6715965,12949,0.4730095,405,0.5283951,203,0.7389163,203,0.9064039,240,0.7875,612,0.374183,179,0.452514,50,0.4419048,3477,0.2197297,123,0.7560976,136,0.2352941,388,0.6580756,79,0.721519,639,0.8090767,161,0.725534894,127,0.853900297,139,0.721411786,110,0.862304109,80,0.846968927,159,0.8553459,186,0.9408602,266,0.4135338,287,0.7735192,149,0.40173568,122,0.588349027,181,0.593402116
76962,CT,POS,3,3,3,2,2,3,3,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,2,2,444,0.5337838,600,0.6166667,87,0.2873563,11,0.3055556,817,0.1952265,411,0.4647202,9431,0.7480649,9811,0.684232,401,0.5660848,401,0.5311721,401,0.9077307,3378,0.6708111,10134,0.8451747,1227,0.6831889,6946,0.7420098,403,0.6203474,407,0.4963145,225,0.7377778,225,0.88,328,0.7591463,1638,0.6373626,242,0.4917355,56,0.549816,5408,0.4136464,130,0.6153846,231,0.1688312,348,0.6934866,69,0.5652174,652,0.9095092,230,0.751504187,195,0.81529128,196,0.749768005,175,0.870091399,135,0.843531547,230,0.8913043,281,0.9395018,888,0.2331081,966,0.7556936,219,0.480576551,182,0.67141625,248,0.618327074
77514,RI,HMO,3,3,3,2,3,4,4,4,4,4,4,4,4,4,3,2,2,3,3,3,2,2,2,2,121,0.5371901,288,0.6163195,71,0.4507042,3,0.2,341,0.2492669,411,0.7445255,3598,0.7937743,3183,0.6830035,398,0.620603,398,0.620603,398,0.9170854,1203,0.7206983,3497,0.8304261,417,0.722108,1546,0.7257439,354,0.6666667,398,0.6507538,64,0.78125,64,0.953125,411,0.9148418,521,0.621881,272,0.4852941,59,0.5989692,627,0.4864434,28,0.7857143,27,0.5555556,279,0.8829152,20,0.6,155,0.8774194,274,0.728237868,231,0.808488005,222,0.750256034,214,0.849430746,126,0.86232518,35,0.8,35,0.9714286,186,0.2580645,350,0.7057143,250,0.499576254,234,0.688576388,296,0.690157929
77552,OH,HMO,3,3,3,4,3,3,3,4,4,3,2,3,2,3,3,3,3,3,3,3,3,3,2,2,382,0.6492147,895,0.6463687,184,0.375,29,0.4166667,786,0.2118321,411,0.5766423,11726,0.7787822,10486,0.7162884,548,0.4270073,548,0.4270073,548,0.9124088,4290,0.7592075,12587,0.8255343,1285,0.6183556,3802,0.5886376,411,0.4647202,411,0.4622871,411,0.7420925,411,0.8467153,411,0.8053528,1249,0.3811049,289,0.4775087,60,0.5549921,2042,0.3770813,242,0.6859504,268,0.2164179,411,0.6269262,152,0.7960526,1795,0.7905292,265,0.746386319,229,0.836678882,234,0.741276215,208,0.863807898,142,0.848157426,414,0.9009662,451,0.9201774,775,0.236129,642,0.7242991,258,0.523625532,200,0.689433531,299,0.593970702
77566,VT,HMO,3,3,3,2,3,4,4,3,3,4,3,5,3,3,3,3,3,3,3,3,4,4,1,1,80,0.525,239,0.6882846,46,0.2826087,.,NR,313,0.2683706,411,0.6009732,2538,0.820725,1922,0.7778356,411,0.5328467,411,0.6009732,411,0.8734793,584,0.8030822,3008,0.7802527,217,0.7617375,992,0.6522177,411,0.6447689,411,0.5839416,130,0.8692308,130,0.9384615,411,0.8418491,688,0.4534884,189,0.4232804,64,0.5647591,.,NB,26,0.8461538,48,0.2083333,411,0.8158962,14,0.8571429,385,0.8675325,178,0.739551654,141,0.846708697,150,0.754186778,127,0.874622079,86,0.813986239,68,0.9558824,90,0.9888889,118,0.3559322,322,0.8509317,146,0.377006735,109,0.703476263,198,0.639407551
77606,NJ,HMO,2,2,3,3,3,3,3,4,4,3,3,2,3,CSR-I,3,3,3,3,3,2,2,2,2,2,33,0.6060606,84,0.5952381,25,0.4,.,NR,76,0.2565789,411,0.4111922,1397,0.7931281,1304,0.7039877,411,0.323601,411,0.5717762,411,0.919708,589,0.7249576,1496,0.8656417,160,0.8079459,780,0.6705128,411,0.4939173,411,0.5085158,34,0.5294118,34,0.6764706,342,0.7573099,125,0.568,151,0.4503311,30,0.6555556,.,NB,9,0.4444444,17,0.2352941,369,0.6323397,8,0.875,94,0.7553191,150,0.723350471,130,0.833710365,125,0.751233474,122,0.861597114,89,0.852033166,24,0.8333333,31,0.8064516,85,0.2588235,84,0.75,135,0.463273863,112,0.621876889,160,0.67675855
78079,DC,PPO,4,3,4,4,3,4,3,3,3,4,4,3,3,3,4,4,4,CSR-I,CSR-I,3,3,3,2,2,304,0.6546053,353,0.7337111,73,0.5616438,32,0.3444445,240,0.2625,411,0.4768856,1973,0.8383173,2044,0.8062622,411,0.5523114,411,0.4574209,411,0.8734793,602,0.7707641,2795,0.8125224,382,0.8370708,1459,0.7484578,411,0.7858881,411,0.7080292,411,0.6399027,411,0.8442822,411,0.6545012,656,0.4801829,137,0.6277372,13,0.4871795,4441,0.5014636,296,0.6114865,246,0.3252033,411,0.6034063,288,0.8923611,1052,0.8593156,134,0.822414411,113,0.838782235,126,0.827746196,98,0.906000017,82,0.864315671,237,0.907173,352,0.9431818,267,0.3258427,592,0.7483108,113,0.412970754,91,0.639627349,142,0.759154567
78124,NY,EPO,4,4,4,3,3,4,4,5,5,5,4,5,4,CSR-I,3,4,4,4,4,3,3,3,2,2,133,0.6165414,138,0.6884058,17,0.4117647,.,NR,154,0.1915585,411,0.7761557,2090,0.7526316,2165,0.7316397,388,0.6134021,388,0.7216495,388,0.8969072,559,0.7370304,2463,0.8712952,284,0.5142415,2246,0.800089,342,0.7368421,376,0.7260638,45,0.9111111,45,0.9777778,134,0.8507463,278,0.4856115,271,0.5608856,37,0.6023166,.,NB,7,0.8571429,15,0.2666667,191,0.8935428,6,0.8333333,48,0.9583333,240,0.797686424,219,0.841977836,215,0.778142721,197,0.874770075,152,0.857095094,8,0.875,14,0.9285714,108,0.25,107,0.8224299,211,0.457475185,170,0.738680155,271,0.677422921
78124,NY,PPO,4,3,4,CSR-I,3,4,4,4,4,4,4,CSR-I,2,CSR-I,4,4,4,4,4,3,4,4,2,2,26,0.6153846,36,0.6944445,6,0.8333333,2,0.75,46,0.2391305,331,0.7522659,310,0.8225806,255,0.7372549,133,0.6390977,133,0.6165414,133,0.9097744,100,0.78,418,0.8349282,64,0.4017799,276,0.7463768,313,0.7316294,395,0.6303797,19,0.6842105,19,0.8947368,172,0.9069767,89,0.3707865,140,0.3928571,49,0.4581916,.,NB,17,0.8235294,20,0.1,228,0.8084796,8,0.875,35,0.8571429,137,0.807524396,114,0.83949716,118,0.805629228,106,0.889680391,69,0.855663767,26,0.8076923,20,0.9,44,0.4090909,43,0.7906977,112,0.454600714,94,0.714319026,150,0.691174866
